UserID,Age,ParentalEducationYears,CEOAnnualSalary,Budget,IdealTripDurationDays,CurrentLatitude,CurrentLongitude,ClimatePreference,TravelStylePreference,TravelCompanionPreference,FavoriteColor,LocalSportsTeamRecord,PastTripsWithRatings
47,44,15.4,54217.77,1397.95,6,47.2283,-123.0196,Warm,Party,Solo,Green,Neutral,"Destination_007-8, Destination_001-8, Destination_053-7, Destination_074-6, Destination_049-9"
48,36,14.8,56048.17,1235.57,3,41.3828,-87.2998,Temperate,Luxury,Couples,Black,Losing,"Destination_061-9, Destination_071-7, Destination_066-9, Destination_015-10, Destination_039-6"
49,24,18.6,26811.57,1575.88,8,42.609,-71.0089,Warm,Adventure,Friends,Red,Neutral,"Destination_007-9, Destination_055-9"
50,32,16.5,13759.04,1385.24,10,40.1485,-73.6266,Mixed,Adventure,Couples,White,Winning,Destination_003-7
51,31,16.9,34738.36,1527.82,8,40.0976,-73.4305,Mixed,Party,Solo,Red,Neutral,"Destination_053-5, Destination_066-6, Destination_019-8"
52,27,19.7,36190.07,1910.93,12,43.7887,-70.8768,Mixed,Party,Solo,Purple,Neutral,"Destination_054-7, Destination_016-5"
53,40,15.3,67369.58,1291.51,9,47.9016,-122.5764,Warm,Luxury,Couples,Orange,Neutral,"Destination_032-9, Destination_003-7, Destination_024-6, Destination_021-9, Destination_073-7"
54,38,14.2,28743.02,1231.93,7,39.8049,-74.3114,Mixed,Luxury,Couples,Blue,Losing,"Destination_004-9, Destination_074-7"
55,18,16.2,31682.16,340.56,5,40.1636,-74.7335,Temperate,Party,Friends,Black,Losing,"Destination_045-7, Destination_051-8, Destination_050-9, Destination_052-6, Destination_020-8"
56,18,13.1,21968.9,667.19,5,43.2212,-70.9236,Warm,Relaxation,Solo,Purple,Neutral,"Destination_013-8, Destination_033-9, Destination_056-7, Destination_023-8, Destination_057-5"
57,40,14.0,19716.16,839.29,3,34.2398,-118.3945,Mixed,Party,Family,White,Winning,"Destination_075-7, Destination_069-6, Destination_041-7, Destination_042-6"
58,25,12.8,22281.69,587.59,6,41.7936,-87.1477,Mixed,Party,Work,Purple,Neutral,"Destination_029-7, Destination_074-7, Destination_035-9, Destination_073-6, Destination_068-8"
59,39,14.6,31061.16,782.52,8,42.3438,-70.7947,Warm,Cultural,Family,White,Losing,Destination_031-9
60,44,12.4,30033.01,1253.43,13,33.952,-118.4111,Mixed,Adventure,Family,Yellow,Losing,"Destination_074-9, Destination_070-7"
61,20,12.8,8772.8,450.21,8,33.3465,-119.2289,Warm,Party,Friends,Blue,Winning,"Destination_043-6, Destination_054-10, Destination_062-5, Destination_024-4"
62,18,15.1,70217.18,797.49,4,40.5792,-73.9818,Temperate,Party,Friends,Black,Winning,Destination_009-4
63,55,13.2,15251.64,839.75,3,40.0669,-74.0272,Warm,Relaxation,Work,Orange,Winning,"Destination_012-7, Destination_062-5, Destination_029-7, Destination_020-7"
64,39,10.0,11275.62,807.36,7,40.7369,-75.088,Warm,Cultural,Solo,Yellow,Losing,"Destination_058-5, Destination_056-8, Destination_003-7, Destination_054-8, Destination_002-8"
65,30,11.1,6751.52,998.91,10,41.9024,-70.8564,Mixed,Relaxation,Couples,White,Neutral,"Destination_044-9, Destination_037-9, Destination_056-9, Destination_070-10, Destination_069-8"
66,24,11.8,35058.67,860.5,6,34.2435,-118.8168,Temperate,Party,Solo,Orange,Winning,Destination_028-6
67,29,12.3,32791.98,1095.53,9,47.6892,-121.8188,Warm,Cultural,Friends,Black,Winning,"Destination_010-8, Destination_009-4"
68,21,15.0,48443.08,1625.49,7,26.1485,-80.2376,Cold,Adventure,Solo,White,Winning,"Destination_029-4, Destination_054-9, Destination_001-7, Destination_008-5, Destination_062-7"
69,46,14.1,17939.83,1264.57,10,25.526,-80.5047,Mixed,Relaxation,Work,Purple,Losing,"Destination_073-7, Destination_049-7, Destination_007-7"
70,26,16.2,38322.83,1799.24,3,25.9939,-80.0924,Mixed,Adventure,Solo,White,Neutral,"Destination_045-8, Destination_002-9"
71,48,15.1,16633.66,981.12,12,47.9247,-122.2641,Mixed,Luxury,Family,Green,Winning,"Destination_034-8, Destination_013-6, Destination_070-7"
72,30,16.1,51765.76,1251.3,4,42.7694,-71.0127,Mixed,Party,Couples,Purple,Losing,Destination_013-9
73,22,15.4,36980.42,1270.82,9,34.4423,-117.8046,Cold,Adventure,Friends,Red,Losing,"Destination_044-7, Destination_071-7, Destination_026-8"
74,30,14.4,19267.35,951.21,6,40.3077,-74.9141,Temperate,Party,Couples,Blue,Losing,Destination_052-7
75,18,16.4,65538.34,1144.59,7,34.8217,-118.1117,Mixed,Adventure,Friends,Purple,Losing,"Destination_008-7, Destination_027-8, Destination_009-7"
76,34,15.8,40210.38,1779.39,7,46.7528,-122.6869,Warm,Cultural,Couples,Black,Winning,"Destination_069-9, Destination_039-7, Destination_067-8, Destination_010-9, Destination_003-7"
77,33,14.7,28954.01,1262.83,9,41.0959,-74.1498,Warm,Party,Couples,Red,Winning,Destination_067-9
78,45,16.2,39489.46,1790.18,9,47.354,-121.6296,Warm,Cultural,Family,Red,Winning,"Destination_033-5, Destination_060-9, Destination_074-7, Destination_067-5"
79,18,9.5,9064.28,707.45,10,47.0864,-122.7291,Warm,Party,Work,Red,Losing,Destination_075-6
80,49,13.0,31821.72,1151.38,12,40.8157,-73.8148,Cold,Party,Family,Purple,Losing,Destination_049-4
81,45,13.1,12371.0,1333.26,9,42.1282,-87.1744,Mixed,Relaxation,Friends,Green,Winning,"Destination_021-6, Destination_025-5, Destination_026-7, Destination_032-7, Destination_033-4"
82,50,15.9,22656.54,1798.87,13,40.8093,-73.7653,Temperate,Cultural,Family,Red,Losing,Destination_015-7
83,34,17.1,14091.38,1951.16,8,47.4804,-122.2987,Temperate,Adventure,Friends,White,Losing,Destination_071-10
84,47,10.8,22562.66,1020.65,11,34.1038,-118.1325,Temperate,Relaxation,Couples,Purple,Losing,Destination_030-8
85,18,17.1,51814.85,957.12,8,41.0963,-73.7324,Cold,Adventure,Work,Red,Neutral,"Destination_053-7, Destination_074-6, Destination_009-7"
86,44,11.4,18831.81,908.66,6,40.7321,-74.4146,Warm,Cultural,Friends,Black,Winning,"Destination_008-10, Destination_012-8"
87,26,11.8,20223.09,300.0,7,42.3938,-71.074,Warm,Party,Couples,Orange,Losing,"Destination_059-6, Destination_025-8, Destination_057-7, Destination_008-10, Destination_039-5"
88,18,13.8,92113.46,850.62,8,40.8066,-72.9067,Cold,Cultural,Solo,Yellow,Losing,Destination_031-8
89,22,13.5,49766.95,1286.23,7,41.6181,-87.4189,Temperate,Party,Friends,Orange,Losing,"Destination_071-10, Destination_057-8, Destination_019-6, Destination_063-10"
90,35,10.8,11647.35,409.66,8,26.2942,-80.141,Temperate,Adventure,Family,Yellow,Losing,Destination_061-10
91,25,15.4,23426.08,1164.45,10,43.5289,-71.249,Temperate,Party,Family,Red,Winning,"Destination_020-8, Destination_035-5"
92,40,15.2,37384.08,1662.93,8,34.212,-118.6394,Warm,Adventure,Work,Red,Losing,"Destination_072-7, Destination_006-8, Destination_027-7, Destination_064-6"
93,18,16.3,13896.59,523.49,2,33.8742,-118.1155,Cold,Adventure,Friends,Red,Winning,Destination_026-8
94,18,13.4,16515.83,502.75,12,42.7832,-70.9005,Temperate,Cultural,Couples,Green,Neutral,"Destination_043-9, Destination_039-8, Destination_031-9"
95,51,13.5,46343.55,1343.55,7,42.5096,-87.6775,Temperate,Relaxation,Family,Yellow,Winning,"Destination_044-8, Destination_027-7"
96,46,13.6,19228.39,387.84,5,40.5439,-72.658,Mixed,Cultural,Solo,Yellow,Winning,"Destination_069-8, Destination_074-6, Destination_068-6, Destination_035-5"
97,22,17.5,12782.47,1008.87,4,34.2471,-118.5997,Cold,Party,Friends,Yellow,Winning,Destination_022-7
98,35,8.2,13662.07,1027.89,6,40.3629,-74.4813,Warm,Cultural,Friends,White,Losing,"Destination_036-6, Destination_013-8"
99,47,11.7,22538.49,1367.88,6,42.8283,-71.2422,Cold,Adventure,Solo,Red,Losing,"Destination_003-6, Destination_011-8"
100,40,13.8,39553.16,955.77,5,34.1137,-118.2718,Warm,Adventure,Friends,Orange,Winning,"Destination_030-7, Destination_053-7, Destination_032-7, Destination_073-7"
101,37,11.7,48430.34,1005.56,5,26.1257,-80.6134,Warm,Adventure,Friends,Blue,Neutral,"Destination_020-6, Destination_045-8"
102,48,13.1,101039.36,1277.61,9,25.2222,-80.0779,Temperate,Relaxation,Solo,Orange,Winning,"Destination_016-6, Destination_065-6, Destination_053-9, Destination_040-10, Destination_028-9"
103,26,13.8,24464.93,1306.13,13,42.1805,-87.4637,Warm,Adventure,Friends,Blue,Neutral,"Destination_004-8, Destination_036-10, Destination_061-8"
104,35,12.6,17352.07,1109.51,10,25.3553,-79.8513,Temperate,Luxury,Friends,Red,Winning,"Destination_008-7, Destination_012-5, Destination_003-4, Destination_061-10, Destination_021-7"
105,35,14.0,37422.77,1462.47,11,40.3381,-74.2708,Mixed,Cultural,Couples,Red,Neutral,"Destination_043-6, Destination_015-6, Destination_046-7, Destination_013-9, Destination_053-5"
106,32,15.2,18106.1,997.14,6,47.138,-121.6794,Temperate,Party,Couples,Green,Losing,"Destination_009-3, Destination_010-10, Destination_024-7, Destination_002-10, Destination_066-6"
107,30,13.5,34043.57,1463.37,8,42.1967,-87.3275,Mixed,Cultural,Couples,Orange,Neutral,"Destination_041-6, Destination_064-7"
108,36,13.0,30216.09,1120.87,9,26.3836,-78.7837,Mixed,Adventure,Family,Yellow,Losing,Destination_055-8
109,35,13.6,10214.56,1509.57,6,41.0254,-87.9992,Temperate,Relaxation,Couples,Blue,Losing,"Destination_047-9, Destination_035-10, Destination_012-4"
110,22,14.1,25874.71,570.63,6,47.3019,-122.7554,Temperate,Adventure,Couples,Black,Winning,"Destination_014-6, Destination_019-8, Destination_054-8"
111,45,10.2,12893.21,562.45,10,47.0712,-122.4798,Warm,Luxury,Work,Purple,Winning,Destination_058-8
112,23,15.1,80733.77,1968.51,11,41.7517,-70.8925,Cold,Relaxation,Friends,Black,Winning,"Destination_015-6, Destination_038-2, Destination_063-6"
113,32,13.1,28568.97,1153.76,8,25.7858,-79.9495,Temperate,Party,Friends,Black,Neutral,"Destination_060-8, Destination_070-6, Destination_075-8"
114,31,16.5,20211.84,1190.48,4,40.9639,-73.7085,Warm,Relaxation,Work,White,Losing,"Destination_059-10, Destination_017-7, Destination_036-8"
115,39,15.0,21876.1,1143.22,7,40.5233,-72.9494,Warm,Luxury,Solo,Blue,Neutral,"Destination_056-9, Destination_031-6"
116,18,16.6,13789.43,1093.78,3,25.8772,-81.1212,Cold,Cultural,Couples,Yellow,Neutral,Destination_001-6
117,46,11.7,8579.07,505.75,8,41.3788,-88.5003,Warm,Party,Family,Black,Winning,"Destination_071-7, Destination_072-6"
118,27,13.3,41244.0,1483.28,8,41.8887,-87.6909,Temperate,Adventure,Couples,Purple,Winning,Destination_063-9
119,50,11.1,26229.69,1606.27,7,33.8158,-117.2345,Mixed,Cultural,Couples,Orange,Losing,"Destination_008-8, Destination_044-10, Destination_066-7"
120,29,12.6,58593.82,1375.17,8,26.0345,-79.827,Temperate,Luxury,Friends,Orange,Winning,"Destination_032-8, Destination_009-8, Destination_070-7"
121,34,16.4,15623.54,1427.82,9,25.2945,-80.6896,Temperate,Adventure,Solo,White,Losing,Destination_070-8
122,58,16.4,20606.68,1211.92,9,34.0684,-118.1535,Warm,Cultural,Family,Blue,Winning,"Destination_023-7, Destination_057-8, Destination_046-7, Destination_022-6, Destination_040-8"
123,32,11.7,17756.83,1155.86,3,41.4318,-71.1502,Mixed,Adventure,Family,Purple,Winning,"Destination_073-7, Destination_050-7, Destination_061-8, Destination_027-8, Destination_035-7"
124,50,12.7,69261.69,1827.03,8,42.367,-71.1676,Temperate,Cultural,Family,White,Winning,"Destination_024-5, Destination_063-7, Destination_033-9, Destination_073-6"
125,35,13.7,28767.28,300.0,8,47.2033,-122.5998,Warm,Adventure,Couples,Green,Losing,"Destination_059-8, Destination_042-8, Destination_034-7, Destination_001-8, Destination_005-9"
126,40,15.0,40203.38,1714.54,12,40.6216,-73.9646,Mixed,Relaxation,Solo,Black,Winning,"Destination_016-6, Destination_062-5, Destination_060-7, Destination_049-5, Destination_035-8"
127,36,10.4,60045.07,1156.35,7,42.1824,-87.0896,Warm,Relaxation,Friends,Blue,Losing,"Destination_013-8, Destination_037-7, Destination_063-8"
128,45,10.5,18728.57,1118.14,9,40.5628,-74.2381,Temperate,Cultural,Work,Blue,Winning,"Destination_058-9, Destination_029-10, Destination_008-10, Destination_053-7"
129,27,15.0,116583.4,1967.77,11,42.0988,-87.3246,Warm,Party,Couples,Blue,Losing,"Destination_063-7, Destination_059-8, Destination_022-9, Destination_025-10"
130,23,10.2,8924.03,409.56,6,40.4929,-73.6148,Warm,Party,Solo,Orange,Neutral,"Destination_045-3, Destination_060-7"
131,27,13.2,10920.49,748.27,10,48.0998,-121.6842,Warm,Luxury,Family,Orange,Losing,"Destination_020-7, Destination_013-8, Destination_041-8"
132,36,14.2,56339.64,1370.98,11,43.2492,-71.4932,Cold,Adventure,Couples,White,Winning,"Destination_001-8, Destination_049-6"
133,32,14.8,9810.58,532.88,11,40.7169,-74.0044,Temperate,Relaxation,Couples,Green,Winning,Destination_071-9
134,44,13.4,32077.1,1148.41,9,47.561,-122.6546,Temperate,Relaxation,Solo,White,Losing,"Destination_060-9, Destination_020-9"
135,51,12.9,24780.46,1463.33,15,41.1372,-87.5837,Mixed,Luxury,Solo,Blue,Neutral,"Destination_063-10, Destination_019-8, Destination_045-7"
136,23,15.8,73742.73,1242.2,6,47.2258,-122.287,Mixed,Party,Couples,Blue,Winning,"Destination_056-4, Destination_057-7, Destination_017-8, Destination_054-5"
137,26,14.6,33088.1,1033.94,14,41.963,-71.6098,Warm,Adventure,Couples,Green,Neutral,"Destination_043-10, Destination_011-10"
138,18,12.9,28299.5,1086.78,9,34.1671,-118.1645,Mixed,Adventure,Friends,Blue,Winning,"Destination_051-7, Destination_068-8"
139,59,13.5,29459.38,1185.15,12,42.6496,-69.9671,Warm,Cultural,Couples,Black,Neutral,"Destination_048-7, Destination_064-5, Destination_022-7, Destination_047-6, Destination_027-10"
140,39,14.6,28801.94,1447.25,7,42.4986,-70.8175,Cold,Relaxation,Couples,Black,Neutral,Destination_060-7
141,41,17.2,80519.91,2536.1,12,25.2212,-80.8335,Temperate,Cultural,Couples,Red,Winning,"Destination_034-9, Destination_059-6, Destination_006-9, Destination_026-8"
142,19,15.8,49523.54,1193.76,12,26.5514,-80.6517,Temperate,Adventure,Friends,Red,Neutral,"Destination_073-10, Destination_055-8"
143,35,16.3,34413.48,1020.91,4,47.088,-122.3495,Warm,Relaxation,Solo,Yellow,Losing,"Destination_044-8, Destination_025-9, Destination_067-9, Destination_016-10, Destination_075-8"
144,41,12.6,13208.26,551.05,7,47.5649,-122.7813,Temperate,Relaxation,Solo,Red,Losing,"Destination_007-8, Destination_058-7, Destination_016-8, Destination_071-6"
145,32,12.9,19367.33,788.31,2,25.6075,-79.5753,Warm,Luxury,Family,White,Losing,"Destination_003-10, Destination_069-8, Destination_056-5"
146,48,13.2,51769.06,1170.54,7,47.207,-123.0268,Warm,Cultural,Friends,Yellow,Neutral,"Destination_068-7, Destination_048-7"
147,63,13.1,16892.15,1478.84,6,42.8313,-70.8139,Cold,Luxury,Friends,Yellow,Losing,"Destination_045-7, Destination_068-5, Destination_034-7"
148,24,12.1,17511.5,1079.03,6,33.7397,-119.0311,Temperate,Adventure,Friends,Red,Winning,Destination_021-5
149,23,16.7,24632.92,1959.08,17,25.3877,-80.2174,Temperate,Adventure,Couples,Black,Losing,"Destination_020-7, Destination_003-6, Destination_019-6, Destination_061-7, Destination_071-10"
150,24,15.9,45060.74,1636.88,13,48.1928,-122.8483,Temperate,Adventure,Couples,Black,Winning,"Destination_029-9, Destination_030-8, Destination_041-8"
151,54,12.9,32025.39,1180.21,3,42.3177,-70.7224,Cold,Luxury,Family,White,Winning,"Destination_012-7, Destination_003-6, Destination_069-8"
152,48,14.9,31987.69,893.02,9,39.5194,-73.4931,Cold,Cultural,Couples,Purple,Losing,"Destination_073-5, Destination_053-7, Destination_040-5, Destination_030-8"
153,33,14.4,42890.44,1466.48,10,25.1688,-80.024,Cold,Relaxation,Couples,Green,Winning,"Destination_059-6, Destination_014-10, Destination_024-10, Destination_055-4"
154,35,15.3,48887.14,1318.05,7,42.4833,-70.5177,Mixed,Adventure,Solo,Red,Losing,"Destination_069-10, Destination_054-7, Destination_029-5, Destination_012-6"
155,25,11.4,18452.05,349.73,7,40.9855,-75.1986,Warm,Cultural,Friends,Green,Losing,"Destination_034-7, Destination_010-6, Destination_033-6, Destination_045-6, Destination_017-6"
156,46,13.4,53931.11,1498.81,9,41.4876,-87.5609,Temperate,Luxury,Solo,Purple,Winning,"Destination_059-4, Destination_013-9, Destination_007-8"
157,30,13.9,57922.06,1257.08,4,25.6625,-79.9512,Temperate,Relaxation,Couples,Red,Winning,"Destination_060-9, Destination_071-7, Destination_037-8"
158,32,15.2,33748.96,627.27,4,34.4447,-117.9358,Warm,Cultural,Friends,Red,Losing,Destination_040-6
159,42,12.5,16881.6,1055.58,8,47.5029,-123.2532,Warm,Cultural,Friends,Blue,Losing,"Destination_007-9, Destination_005-8, Destination_044-9, Destination_009-10"
160,33,8.9,8103.65,680.79,7,33.8223,-118.0318,Temperate,Cultural,Family,Red,Losing,"Destination_023-9, Destination_032-6, Destination_038-10, Destination_036-9"
161,32,11.8,36931.56,1011.27,5,47.0648,-122.0144,Temperate,Luxury,Family,Red,Winning,"Destination_049-7, Destination_009-6, Destination_070-8, Destination_069-10"
162,35,13.8,33637.75,743.26,5,34.5042,-118.1766,Temperate,Adventure,Solo,Yellow,Losing,"Destination_006-10, Destination_028-7, Destination_038-10, Destination_016-7, Destination_022-9"
163,45,13.8,45967.33,797.34,7,39.1781,-74.649,Cold,Cultural,Friends,Black,Winning,"Destination_009-8, Destination_047-6, Destination_014-8, Destination_055-5"
164,55,16.9,83406.9,1725.97,11,41.6531,-74.2833,Cold,Relaxation,Couples,Yellow,Winning,Destination_066-8
165,42,14.9,68466.76,1193.17,7,33.0579,-117.6224,Cold,Relaxation,Work,Red,Losing,"Destination_036-7, Destination_030-7, Destination_045-7, Destination_056-6, Destination_060-8"
166,45,13.9,42138.99,1462.36,13,41.8867,-87.0775,Temperate,Party,Couples,Green,Winning,"Destination_006-7, Destination_062-4, Destination_032-7"
167,33,13.9,21840.02,433.21,5,34.1885,-118.0107,Mixed,Luxury,Family,Red,Winning,"Destination_007-10, Destination_061-4"
168,27,16.3,11575.88,695.97,8,42.5415,-70.7113,Cold,Party,Couples,Purple,Winning,"Destination_066-8, Destination_032-9, Destination_009-8, Destination_021-7, Destination_072-9"
169,43,12.6,33584.03,1309.13,7,35.1887,-117.7545,Warm,Relaxation,Couples,Blue,Losing,"Destination_035-9, Destination_053-8, Destination_008-10, Destination_067-9, Destination_034-10"
170,37,13.6,21000.2,954.43,9,24.9698,-79.9667,Warm,Luxury,Couples,Yellow,Losing,"Destination_052-7, Destination_064-7, Destination_069-10, Destination_035-7, Destination_028-9"
171,18,12.1,31894.57,971.22,5,48.1807,-121.7286,Warm,Adventure,Friends,Orange,Losing,"Destination_059-5, Destination_035-6"
172,31,16.8,31564.41,1086.99,13,41.6667,-87.0475,Mixed,Relaxation,Couples,Purple,Winning,"Destination_060-7, Destination_007-9"
173,34,14.7,29252.68,763.25,2,34.5139,-116.9537,Temperate,Luxury,Work,White,Neutral,"Destination_007-7, Destination_029-9, Destination_073-4, Destination_059-8"
174,29,12.6,32633.1,1235.51,13,40.335,-74.2637,Warm,Cultural,Couples,Green,Losing,"Destination_011-9, Destination_006-8, Destination_012-8, Destination_069-8"
175,53,13.3,26176.8,925.29,8,42.2069,-71.3051,Warm,Cultural,Family,Orange,Winning,"Destination_032-6, Destination_029-9, Destination_036-10, Destination_055-9, Destination_056-6"
176,41,14.8,10606.75,1422.49,10,40.265,-75.3913,Warm,Relaxation,Family,Black,Winning,"Destination_041-10, Destination_010-5, Destination_044-9"
177,51,13.1,39012.53,1550.29,12,41.6627,-87.4453,Temperate,Relaxation,Family,Purple,Winning,"Destination_006-10, Destination_007-8, Destination_014-7"
178,38,12.8,55207.47,1333.56,10,25.5134,-79.2223,Cold,Relaxation,Family,Purple,Neutral,"Destination_017-9, Destination_032-10, Destination_031-5"
